iter	Passed	Remaining
0	148	148536
1	151	75721
2	154	51414
3	157	39148
4	159	31818
5	163	27087
6	166	23560
7	168	20887
8	171	18923
9	174	17244
10	176	15853
11	178	14693
12	180	13712
13	184	12975
14	187	12302
15	189	11671
16	191	11096
17	194	10604
18	197	10177
19	202	9910
20	204	9549
21	207	9209
22	209	8885
23	212	8626
24	214	8356
25	218	8171
26	220	7942
27	222	7712
28	224	7500
29	226	7324
30	228	7151
31	230	6974
32	232	6803
33	233	6636
34	234	6470
35	235	6319
36	237	6173
37	238	6038
38	241	5951
39	243	5853
40	245	5734
41	246	5614
42	247	5499
43	248	5390
44	249	5287
45	249	5184
46	250	5086
47	251	4992
48	252	4901
49	253	4820
50	255	4746
51	257	4695
52	259	4629
53	260	4555
54	261	4484
55	261	4413
56	262	4347
57	263	4281
58	264	4216
59	265	4153
60	265	4094
61	266	4036
62	267	3979
63	268	3930
64	271	3907
65	273	3869
66	274	3819
67	275	3772
68	276	3724
69	276	3677
70	277	3633
71	278	3591
72	279	3548
73	280	3506
74	280	3465
75	281	3424
76	282	3385
77	284	3365
78	286	3340
79	287	3310
80	288	3278
81	289	3245
82	290	3207
83	291	3175
84	291	3143
85	292	3113
86	293	3082
87	294	3051
88	295	3021
89	295	2992
90	297	2966
91	298	2947
92	300	2926
93	301	2904
94	302	2879
95	303	2854
96	303	2828
97	304	2803
98	305	2780
99	306	2756
100	307	2732
101	307	2709
102	308	2686
103	309	2665
104	310	2643
105	310	2621
106	312	2608
107	314	2596
108	316	2583
109	316	2563
110	317	2543
111	318	2524
112	319	2505
113	319	2486
114	320	2466
115	321	2447
116	321	2427
117	322	2409
118	322	2390
119	323	2373
120	324	2357
121	325	2340
122	327	2333
123	329	2326
124	330	2314
125	331	2298
126	332	2283
127	333	2268
128	335	2262
129	335	2248
130	336	2233
131	337	2218
132	338	2203
133	338	2189
134	339	2177
135	340	2165
136	342	2156
137	343	2148
138	345	2137
139	345	2125
140	346	2113
141	347	2099
142	348	2087
143	348	2074
144	349	2062
145	350	2051
146	351	2039
147	352	2027
148	352	2015
149	353	2004
150	354	1992
151	354	1980
152	355	1970
153	357	1964
154	359	1958
155	360	1950
156	361	1940
157	362	1930
158	363	1920
159	363	1910
160	364	1899
161	365	1889
162	365	1879
163	366	1868
164	367	1858
165	367	1848
166	368	1839
167	369	1830
168	370	1823
169	372	1816
170	374	1814
171	375	1806
172	376	1797
173	376	1788
174	377	1779
175	378	1770
176	378	1761
177	379	1753
178	380	1745
179	381	1737
180	381	1728
181	382	1719
182	383	1711
183	384	1703
184	385	1696
185	386	1691
186	388	1689
187	390	1684
188	390	1677
189	391	1670
190	392	1662
191	393	1655
192	394	1648
193	394	1640
194	395	1633
195	396	1626
196	397	1619
197	398	1612
198	398	1605
199	401	1604
200	403	1602
201	404	1597
202	405	1593
203	406	1586
204	407	1580
205	408	1574
206	409	1567
207	410	1561
208	410	1555
209	412	1549
210	412	1543
211	413	1536
212	414	1531
213	416	1528
214	417	1525
215	419	1520
216	419	1514
217	420	1508
218	421	1502
219	421	1495
220	422	1489
221	423	1484
222	424	1479
223	425	1472
224	425	1467
225	426	1461
226	427	1455
227	427	1449
228	428	1442
229	430	1440
230	431	1438
231	433	1435
232	434	1431
233	435	1425
234	436	1420
235	437	1415
236	437	1409
237	438	1404
238	439	1399
239	440	1393
240	440	1388
241	441	1383
242	442	1378
243	443	1374
244	445	1371
245	446	1369
246	448	1368
247	449	1364
248	450	1359
249	451	1354
250	452	1349
251	452	1343
252	453	1339
253	454	1334
254	455	1329
255	455	1324
256	456	1321
257	458	1317
258	459	1314
259	461	1312
260	462	1310
261	463	1306
262	464	1302
263	465	1298
264	466	1293
265	467	1289
266	468	1284
267	468	1280
268	469	1276
269	470	1272
270	471	1267
271	472	1263
272	473	1261
273	475	1261
274	477	1258
275	478	1255
276	479	1251
277	480	1247
278	481	1243
279	481	1239
280	482	1235
281	483	1231
282	484	1226
283	485	1222
284	485	1218
285	486	1214
286	487	1211
287	489	1209
288	491	1210
289	492	1206
290	493	1202
291	494	1198
292	495	1194
293	495	1190
294	496	1186
295	497	1182
296	498	1179
297	498	1175
298	499	1171
299	500	1167
300	501	1163
301	502	1160
302	503	1159
303	506	1159
304	507	1155
305	508	1152
306	508	1148
307	509	1144
308	510	1141
309	510	1137
310	511	1133
311	512	1129
312	512	1125
313	513	1122
314	514	1118
315	515	1115
316	516	1111
317	517	1109
318	519	1109
319	521	1108
320	522	1104
321	523	1101
322	523	1097
323	524	1094
324	525	1090
325	526	1088
326	527	1084
327	527	1081
328	528	1077
329	529	1074
330	529	1070
331	530	1067
332	531	1064
333	532	1062
334	534	1061
335	535	1058
336	536	1054
337	536	1051
338	537	1048
339	538	1045
340	539	1042
341	540	1039
342	540	1035
343	541	1032
344	542	1029
345	542	1026
346	543	1022
347	544	1019
348	545	1016
349	547	1016
350	549	1015
351	550	1012
352	550	1009
353	551	1006
354	552	1003
355	552	1000
356	553	997
357	554	994
358	555	991
359	555	988
360	556	985
361	557	982
362	557	979
363	558	976
364	559	973
365	561	971
366	562	970
367	564	968
368	564	966
369	565	963
370	566	960
371	567	957
372	567	954
373	568	951
374	569	948
375	569	945
376	570	942
377	571	940
378	571	937
379	572	934
380	573	931
381	574	929
382	576	928
383	578	927
384	579	925
385	579	922
386	580	919
387	581	917
388	582	914
389	582	911
390	583	908
391	584	905
392	584	903
393	585	900
394	585	897
395	586	894
396	587	891
397	587	889
398	588	886
399	589	884
400	592	885
401	593	883
402	594	880
403	595	878
404	596	875
405	596	873
406	597	870
407	598	868
408	599	866
409	600	864
410	601	861
411	602	859
412	602	856
413	604	855
414	606	854
415	607	853
416	609	851
417	609	849
418	610	846
419	611	844
420	612	842
421	613	840
422	614	837
423	614	835
424	615	832
425	616	830
426	617	828
427	617	825
428	619	824
429	621	823
430	622	821
431	623	819
432	623	816
433	624	814
434	625	812
435	626	810
436	627	808
437	628	806
438	628	803
439	629	801
440	630	799
441	631	796
442	632	794
443	632	792
444	634	791
445	635	789
446	636	787
447	637	785
448	638	783
449	639	781
450	639	778
451	640	776
452	641	774
453	641	771
454	642	769
455	643	767
456	643	765
457	644	762
458	645	760
459	646	758
460	646	756
461	647	753
462	649	753
463	650	751
464	651	749
465	652	747
466	652	745
467	653	743
468	654	741
469	655	739
470	656	736
471	656	734
472	657	732
473	657	730
474	658	727
475	659	725
476	659	723
477	660	721
478	661	719
479	662	717
480	663	716
481	664	714
482	665	712
483	666	710
484	667	708
485	668	706
486	668	704
487	669	702
488	670	700
489	670	698
490	671	696
491	672	694
492	672	692
493	673	689
494	674	687
495	674	685
496	675	683
497	676	681
498	676	679
499	678	678
500	679	676
501	680	674
502	680	672
503	681	670
504	682	668
505	682	666
506	683	664
507	684	662
508	684	660
509	685	658
510	686	656
511	686	654
512	687	652
513	688	650
514	688	648
515	689	646
516	690	644
517	690	642
518	691	641
519	693	639
520	694	638
521	695	636
522	696	634
523	696	633
524	697	631
525	698	629
526	698	627
527	699	625
528	700	623
529	700	621
530	701	619
531	702	617
532	702	615
533	703	613
534	704	612
535	704	610
536	705	608
537	706	606
538	707	604
539	708	603
540	709	601
541	710	600
542	711	598
543	711	596
544	712	594
545	713	593
546	714	591
547	714	589
548	715	587
549	716	585
550	716	584
551	717	582
552	717	580
553	718	578
554	719	576
555	719	574
556	720	573
557	721	571
558	723	570
559	724	569
560	725	567
561	726	566
562	727	564
563	727	562
564	728	560
565	729	559
566	729	557
567	730	555
568	730	553
569	731	551
570	732	550
571	733	548
572	733	546
573	734	545
574	735	543
575	735	541
576	737	540
577	738	539
578	739	537
579	739	535
580	740	534
581	741	532
582	742	531
583	743	529
584	744	527
585	744	526
586	745	524
587	746	522
588	746	521
589	747	519
590	748	517
591	748	516
592	749	514
593	750	512
594	751	511
595	753	510
596	754	509
597	755	507
598	756	506
599	757	505
600	758	503
601	759	502
602	760	500
603	761	499
604	761	497
605	762	495
606	763	494
607	764	492
608	765	491
609	766	490
610	767	488
611	768	487
612	769	485
613	770	484
614	771	483
615	772	481
616	773	479
617	773	478
618	774	476
619	775	475
620	776	473
621	777	472
622	778	470
623	778	469
624	779	467
625	780	466
626	781	465
627	782	463
628	783	462
629	784	460
630	785	459
631	785	457
632	786	455
633	787	454
634	787	452
635	788	451
636	789	449
637	789	448
638	790	446
639	790	444
640	791	443
641	792	441
642	792	440
643	793	438
644	794	437
645	794	435
646	796	434
647	797	432
648	797	431
649	798	430
650	799	428
651	800	427
652	800	425
653	801	424
654	802	422
655	803	421
656	803	419
657	804	417
658	804	416
659	805	414
660	806	413
661	806	411
662	807	410
663	808	408
664	808	407
665	809	405
666	810	404
667	811	403
668	812	401
669	813	400
670	813	398
671	814	397
672	815	396
673	815	394
674	816	393
675	817	391
676	817	390
677	818	388
678	819	387
679	819	385
680	820	384
681	821	383
682	822	381
683	822	380
684	823	378
685	824	377
686	825	375
687	826	374
688	827	373
689	828	372
690	829	370
691	829	369
692	830	368
693	831	366
694	832	365
695	833	363
696	833	362
697	834	361
698	835	359
699	835	358
700	836	356
701	837	355
702	838	354
703	838	352
704	839	351
705	841	350
706	842	349
707	843	347
708	844	346
709	845	345
710	846	344
711	847	342
712	848	341
713	848	340
714	849	338
715	850	337
716	851	336
717	852	334
718	852	333
719	853	331
720	854	330
721	855	329
722	856	328
723	857	327
724	858	325
725	859	324
726	860	322
727	860	321
728	861	320
729	861	318
730	862	317
731	863	316
732	863	314
733	864	313
734	865	311
735	865	310
736	866	309
737	867	308
738	868	306
739	869	305
740	870	304
741	871	303
742	872	301
743	873	300
744	874	299
745	874	297
